REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP112;Unisex Wool Scarf;Beige Cream;One Size;102102;102101;24/11/2026;350;;SP112_102102_102101;3663639727808
SP112;Unisex Wool Scarf;Black;One Size;102103;102101;24/11/2026;350;;SP112_102103_102101;3663639727815
SP112;Unisex Wool Scarf;Moon Grey Heather;One Size;102104;102101;24/11/2026;350;;SP112_102104_102101;3663639727822
SP112;Unisex Wool Scarf;Navy Blue;One Size;102105;102101;24/11/2026;350;;SP112_102105_102101;3663639727839
SP112;Unisex Wool Scarf;Volcano Grey Heather;One Size;102106;102101;24/11/2026;350;;SP112_102106_102101;3663639727846
SP122;Linen shopping bag;Ivory;One Size;91632;91630;01/09/2026;1100;;SP122_91632_91630;3663938365374
SP122;Linen shopping bag;Wet Sand;One Size;91636;91630;01/09/2026;650;;SP122_91636_91630;3663938365411
SP132;Jute shopping bag;Natural;One Size;91638;91637;03/02/2027;2000;;SP132_91638_91637;3663938365428
SP140;Unisex scarf;Grey Circles;One Size;93568;93567;04/12/2026;198;;SP140_93568_93567;3663639146159
SP141;Unisex scarf;Marine Twill Stripes;One Size;93570;93569;05/10/2026;320;;SP141_93570_93569;3663639146166
SP141;Unisex scarf;Marine Twill Stripes;One Size;93570;93569;04/12/2026;320;;SP141_93570_93569;3663639146166
SP142;Unisex reversible scarf;Blue Stripes / Brown Herringbone;One Size;93572;93571;04/12/2026;320;;SP142_93572_93571;3663639146173
SP143;Unisex reversible scarf;Blue Patchwork / Blue Checkerboard;One Size;93574;93573;05/10/2026;251;;SP143_93574_93573;3663639146180
SP144;Unisex reversible scarf;Brown Patchwork / Brown Checkboard;One Size;93576;93575;04/12/2026;320;;SP144_93576_93575;3663639146197
SP145;Unisex scarf;White Floral Blue;One Size;93578;93577;05/10/2026;197;;SP145_93578_93577;3663639146203
SP145;Unisex scarf;White Floral Blue;One Size;93578;93577;04/12/2026;320;;SP145_93578_93577;3663639146203
SP146;Unisex scarf;Blue Double Stripes;One Size;93794;93793;05/10/2026;320;;SP146_93794_93793;3663639146210
SP146;Unisex scarf;Blue Double Stripes;One Size;93794;93793;04/12/2026;480;;SP146_93794_93793;3663639146210
SP147;Unisex scarf;Brown Classic Checks;One Size;93834;93833;04/12/2026;255;;SP147_93834_93833;3663639146227
SP148;Unisex scarf;Sand Medallion;One Size;93853;93852;05/10/2026;226;;SP148_93853_93852;3663639146234
SP148;Unisex scarf;Sand Medallion;One Size;93853;93852;04/12/2026;320;;SP148_93853_93852;3663639146234
SP149;Unisex scarf;Greenish Shadow Checks;One Size;93864;93863;05/10/2026;259;;SP149_93864_93863;3663639146241
SP150;Unisex scarf;Blue Classic Checks;One Size;93905;93904;04/12/2026;480;;SP150_93905_93904;3663639146258
SP151;Unisex scarf;Urban Grey Stripes;One Size;93925;93924;04/12/2026;400;;SP151_93925_93924;3663639146265
SP152;Unisex scarf;Blue Checks;One Size;93936;93935;04/12/2026;400;;SP152_93936_93935;3663639146272
SP153;Unisex scarf;Green Sunburst;One Size;93938;93937;05/10/2026;234;;SP153_93938_93937;3663639146289
SP153;Unisex scarf;Green Sunburst;One Size;93938;93937;04/12/2026;320;;SP153_93938_93937;3663639146289
SP154;Unisex scarf;Olive Crosschecks Marine;One Size;93940;93939;04/12/2026;560;;SP154_93940_93939;3663639146296
SP155;Unisex scarf;Graphite Ink Stripes;One Size;93942;93941;04/12/2026;187;;SP155_93942_93941;3663639146302
SP156;Unisex scarf;Blue Floral Mozaic;One Size;93944;93943;05/10/2026;242;;SP156_93944_93943;3663639146319
SP156;Unisex scarf;Blue Floral Mozaic;One Size;93944;93943;04/12/2026;320;;SP156_93944_93943;3663639146319
SP157;Unisex scarf;Blue Garnet Flowers;One Size;93946;93945;05/10/2026;214;;SP157_93946_93945;3663639146326
SP157;Unisex scarf;Blue Garnet Flowers;One Size;93946;93945;04/12/2026;320;;SP157_93946_93945;3663639146326
SP158;Unisex scarf;Blue Dotted;One Size;93948;93947;04/12/2026;800;;SP158_93948_93947;3663639146333
SP159;Unisex scarf;Grey Pixel Checks;One Size;93950;93949;04/12/2026;475;;SP159_93950_93949;3663639146340
SP160;Unisex scarf;Blue Floral Print;One Size;93952;93951;04/12/2026;272;;SP160_93952_93951;3663639146357
SP161;Unisex scarf;Blue Lines;One Size;93954;93953;04/12/2026;720;;SP161_93954_93953;3663639146364
SP203;Eco-friendly men's knitted polo shirt;Almond Green;M;88703;13096;15/01/2027;60;;SP203_88703_13096;3663938621869
SP203;Eco-friendly men's knitted polo shirt;Almond Green;L;88703;13097;15/01/2027;240;;SP203_88703_13097;3663938621876
SP203;Eco-friendly men's knitted polo shirt;Almond Green;XL;88703;13098;15/01/2027;210;;SP203_88703_13098;3663938621883
SP203;Eco-friendly men's knitted polo shirt;Almond Green;XXL;88703;13099;15/01/2027;210;;SP203_88703_13099;3663938621890
SP203;Eco-friendly men's knitted polo shirt;Almond Green;S;88703;88702;15/01/2027;288;;SP203_88703_88702;3663938621906
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;M;88704;13096;15/01/2027;450;;SP203_88704_13096;3663938621913
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;L;88704;13097;15/01/2027;420;;SP203_88704_13097;3663938621920
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;XL;88704;13098;15/01/2027;360;;SP203_88704_13098;3663938621937
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;XXL;88704;13099;15/01/2027;90;;SP203_88704_13099;3663938621944
SP203;Eco-friendly men's knitted polo shirt;Navy Blue;S;88704;88702;15/01/2027;180;;SP203_88704_88702;3663938621951
SP203;Eco-friendly men's knitted polo shirt;Ivory;M;90969;13096;15/01/2027;330;;SP203_90969_13096;3663938662534
SP203;Eco-friendly men's knitted polo shirt;Ivory;L;90969;13097;15/01/2027;330;;SP203_90969_13097;3663938662541
SP203;Eco-friendly men's knitted polo shirt;Ivory;XL;90969;13098;15/01/2027;478;;SP203_90969_13098;3663938662558
SP203;Eco-friendly men's knitted polo shirt;Ivory;XXL;90969;13099;15/01/2027;60;;SP203_90969_13099;3663938662565
SP203;Eco-friendly men's knitted polo shirt;Ivory;S;90969;88702;15/01/2027;270;;SP203_90969_88702;3663938662572
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;M;90970;13096;15/01/2027;240;;SP203_90970_13096;3663938662589
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;L;90970;13097;15/01/2027;270;;SP203_90970_13097;3663938662596
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;XL;90970;13098;15/01/2027;240;;SP203_90970_13098;3663938662602
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;XXL;90970;13099;15/01/2027;59;;SP203_90970_13099;3663938662619
SP203;Eco-friendly men's knitted polo shirt;Organic Khaki;S;90970;88702;15/01/2027;145;;SP203_90970_88702;3663938662626
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;M;90971;13096;15/01/2027;270;;SP203_90971_13096;3663938662633
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;L;90971;13097;15/01/2027;270;;SP203_90971_13097;3663938662640
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;XL;90971;13098;15/01/2027;150;;SP203_90971_13098;3663938662657
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;XXL;90971;13099;15/01/2027;100;;SP203_90971_13099;3663938662664
SP203;Eco-friendly men's knitted polo shirt;Wet Sand;S;90971;88702;15/01/2027;139;;SP203_90971_88702;3663938662671
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;S;93538;93533;23/11/2026;158;;SP204_93538_93533;3663938717289
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;M;93538;93534;23/11/2026;210;;SP204_93538_93534;3663938717302
SP204;Eco-friendly men's knitted long sleeve polo shirt;Navy Blue;L;93538;93535;23/11/2026;300;;SP204_93538_93535;3663938717326
